ZIP,Population_Total,Population_65Plus,ACS_Year
06332,1015,94,2024-5yr
06333,7389,1362,2024-5yr
06334,2249,499,2024-5yr
06335,6307,1035,2024-5yr
06336,44,0,2024-5yr
06338,27,1,2024-5yr
06339,9113,1670,2024-5yr
06340,29863,4985,2024-5yr
06350,121,42,2024-5yr
06351,15760,2946,2024-5yr
06353,439,0,2024-5yr
06354,6031,828,2024-5yr
06355,12173,3766,2024-5yr
06357,11332,3533,2024-5yr
06359,5160,1290,2024-5yr
06360,37216,6396,2024-5yr
06365,4807,1093,2024-5yr
06370,7327,964,2024-5yr
06371,9828,2690,2024-5yr
06373,219,15,2024-5yr
06374,7838,1586,2024-5yr
06375,3670,742,2024-5yr
06376,89,40,2024-5yr
06377,2927,402,2024-5yr
06378,5555,2034,2024-5yr
06379,9017,2045,2024-5yr
06380,2757,378,2024-5yr
